State,District,Female population age 6 years and above who ever attended school (%),"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Women with 10 or more years of schooling (%),Births in the 5 years preceding the survey that are third or higher order (%),Any method6 (%),Any modern method6 (%),Female sterilization (%),Male sterilization (%),IUD/PPIUD (%),Pill (%),Condom (%),Injectables (%),Total unmet need7 (%),Unmet need for spacing7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method8 (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Institutional births (%),Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),State_Type
Jharkhand,Pakur,53.1,925,13.6,2.4,55.4,45.4,32.5,0.2,0.7,6.4,2.9,0.5,12,6,22.3,36.5,91,61.6,64.6,51.3,23.6,51.4,1.9,Rest of India
Jharkhand,Palamu,63.5,1098,36.5,4.7,60.1,53.1,47.8,0.5,0.5,0.2,1.7,0.4,13.8,6.3,24.6,61,91.5,70.3,74.9,43.7,18.4,37.3,0.6,Rest of India
Jharkhand,Pashchimi Singhbhum,58.4,872,22.9,2.4,55.9,36.3,12.9,0.5,2.9,7.4,7.6,1,12.5,5,43.6,71.2,92,58.8,67.9,60.6,30.5,62.4,2.8,Rest of India
Jharkhand,Purbi Singhbhum,74.1,837,46.8,0.3,61,47.2,35.3,0,2.8,3.1,4.4,0.5,11.4,3.8,35,58.6,91.6,84,94,35.9,29.4,41.6,1.3,Rest of India
Jharkhand,Ramgarh,68.4,903,44.3,2.4,68.2,54.2,44,0.1,1,1.9,3.5,0.4,7.3,2.8,20.5,43.4,90.8,78,79,35.3,23.5,35.3,1,Rest of India
Jharkhand,Ranchi,73.3,874,49.5,1.2,61.5,51.3,34,0.4,5,3.2,6.4,0.4,12,4.8,32.9,72,93.6,83.1,87.3,28.3,32.7,40.6,4.3,Rest of India
Jharkhand,Sahibganj,57.3,984,18.6,3.7,50.4,34,23.2,0,1,2.7,1.8,0.4,13.2,3.2,32.9,56.8,94.1,64.8,64.7,49.1,19.7,44.8,2.6,Rest of India
Jharkhand,Saraikela-Kharsawan,64.4,919,36,1.6,66.9,52.4,33.4,0.1,2.8,3.1,8.3,1.7,7.2,3.6,49.6,73.7,98.8,77.2,81.8,40,32.9,48.7,9,Rest of India
Jharkhand,Simdega,68.2,907,29.7,0.8,48.5,27.7,15.5,0.8,1.7,3.1,4.1,0.1,15.8,4.7,41.1,81.2,97.7,61.5,75.7,42.2,21.1,37,2.8,Rest of India
Karnataka,Bagalkot,67.3,879,37.7,2,65.3,65.3,59.2,0,2.2,2.2,1.2,0.3,5.8,4,15.8,51.1,98.7,89,95.2,48.3,16.9,42.3,2.4,Rest of India
Karnataka,Bangalore Rural,74.3,1177,56.3,0.4,77.5,76.3,65.7,0.1,3.2,1.7,3.5,0.8,5.9,4.1,46.6,85.8,98.4,91.7,100,36.6,16.2,23.8,6,Rest of India
Karnataka,Bangalore,85.7,1163,70.1,2,73.2,73,55.2,0,3.4,2.9,9.1,0.5,4.7,3,54.7,90.7,98,88,99.3,31.3,19.2,28.1,4.3,Rest of India
Karnataka,Belgaum,72.4,892,47.8,2.5,70.8,70.6,63.3,0,1.9,2.2,1.9,0.2,5.5,2.1,29.4,66.4,96.1,87,97.5,32.8,23.6,36.9,2.9,Rest of India
Karnataka,Bellary,64.2,1072,39.9,3.4,62.7,62.3,56.6,0,1.7,1.2,2.6,0,5.6,2.9,33.5,54.8,98.1,86.6,95.7,36.1,22.9,36.5,1.3,Rest of India
Karnataka,Bidar,68.2,898,45,4.2,69.1,68.5,50.1,0,2,8,5.4,1.6,8.1,3.6,40.7,81.9,96.8,89.6,99,36.8,22.1,36.1,2.5,Rest of India
Karnataka,Bijapur,66.1,885,37.1,2.6,63.1,62.7,55.5,0,1.3,2.1,2.5,0.5,7,4,23.8,62.1,91.1,74.4,91.8,45.9,15,39,2.7,Rest of India
Karnataka,Chamarajanagar,63.2,953,41.7,0.4,79.8,79.4,70,0,2.9,0.8,4.5,0.4,3.4,2.6,54.8,83.5,100,94.2,100,32.2,18,28.7,1.6,Rest of India
Karnataka,Chikkaballapura,65.9,1110,48,0.5,77.8,77.4,69.4,0,3.4,1.6,1.8,0.6,3.8,2.6,49.7,79.5,98.2,91.2,99,31.3,16.1,25.2,2.2,Rest of India
Karnataka,Chikmagalur,76.2,849,48.3,1.6,79.7,79.6,64.8,0,5.3,2.6,6.1,0.3,3.8,2.8,42.8,74.4,99.1,90.9,98.4,27.3,24.9,25.4,6.6,Rest of India
Karnataka,Chitradurga,73,1050,48.3,0.4,72.8,72.5,62,0,3.7,1.3,4.3,0.2,5,3.5,63.4,87,99.1,95.2,98.3,36,17.9,32.4,3.1,Rest of India
Karnataka,Dakshina Kannada,83.9,1038,62.8,1.2,61.9,60.2,46.2,0,3,0.4,7.5,0.8,9.5,6.6,34.8,67.9,98.3,83.5,100,25.1,30.5,26.4,6.9,Rest of India
Karnataka,Davanagere,74.9,797,47.1,2.6,47.1,46.9,41.6,0,1.5,1.1,2.3,0.4,11.5,4.8,16.2,45,96.3,78.9,98.3,38.4,18.8,32.8,2.5,Rest of India
Karnataka,Dharwad,78.2,1110,51.4,2.5,67.1,65.7,58.7,0,2.1,1.9,1.8,0.3,6.3,3.8,29.7,79.5,96.9,98,99.7,45.2,16.5,40.4,2.8,Rest of India
Karnataka,Gadag,73.3,911,45.1,2.6,58.3,57.7,48.8,0,2.5,3,2.7,0.5,7,3.8,25.4,70,97,84.7,96.2,45.2,18.2,39.8,1.5,Rest of India
Karnataka,Gulbarga,65,976,42,4,53,53,40.3,0,0.7,3.5,5.4,1,12.6,5.3,32.3,70.1,95.1,79.6,88.7,34.5,25,36.2,4.1,Rest of India
Karnataka,Hassan,74.4,872,51.3,0,78.1,77.5,62.1,0.4,6.3,3.2,3.3,0.8,5.2,1.8,57.1,82.2,97.8,92.6,100,27.1,15.2,23.8,5.1,Rest of India
Karnataka,Haveri,72.6,805,40,3.4,44.6,44.6,42.6,0,0.7,0.3,1,0,8.4,3.5,20.8,55.8,98.8,92.4,97.2,29.9,17.7,35,0,Rest of India
Karnataka,Kodagu,83.6,1190,58.9,0.8,73,72.3,53.7,0,6.3,2.8,5.6,1.4,5.6,2.2,42,70.8,97.8,93.3,98.4,30.4,21.7,22.6,7.3,Rest of India
Karnataka,Kolar,71.6,919,55,0.9,72.7,71.9,65.4,0,4.2,0.5,0.8,0.5,5.1,3.5,44.5,71.7,99.1,95.7,99.6,31.1,15.5,15.7,5.3,Rest of India
Karnataka,Koppal,63.9,952,34.4,2.1,63.4,63.2,58.4,0,1.9,0.7,1.2,0.7,9.7,6,15.6,59,100,80.7,90.7,49.1,23.1,45.8,0.8,Rest of India
Karnataka,Mandya,67.7,1041,52.5,0,80,78.5,70.2,0,3.6,0.4,3.6,0.1,3.8,1.9,44.6,77.3,100,95.5,99.5,24.3,11.8,16.7,1.3,Rest of India
Karnataka,Mysore,72.4,1123,49.6,0.1,79.5,77.3,68.2,0,2.4,1.1,4.2,0.4,5.6,4.4,37.6,78.6,98.4,93.5,100,27.5,15.6,28.2,1.3,Rest of India
Karnataka,Raichur,55.3,907,31.7,4,50.1,49.6,46.3,0,0.7,0.6,1.8,0.2,10,6.8,19.2,54.1,97.1,76.1,88.9,39.8,23.2,40.7,1.6,Rest of India
Karnataka,Ramanagara,68.8,781,54.5,1.7,78.1,77.5,70,0,2.8,1.5,2.4,0.4,5.1,3.1,34.1,82.9,100,87,100,15.6,20,19.8,4,Rest of India
Karnataka,Shimoga,78.8,1111,49.1,2.5,76.4,76.4,68.3,0,3.4,0.7,2.4,0.7,5.3,3.9,42,74.7,98.5,91.5,99.7,29,23.2,34.4,6,Rest of India
Karnataka,Tumkur,72.3,1133,58.9,0,77,75.8,60.9,0,5.1,2.4,4.4,0.6,5.3,4.4,59.4,76.1,99.3,95.2,100,40.3,10.9,26.7,6.1,Rest of India
Karnataka,Udupi,82,1093,55.4,0,72,71.3,46.1,0,6.4,5.4,8.9,1.2,7.1,4.7,42.3,84.5,99.2,89.2,98.9,23.1,17.6,21,3.2,Rest of India
Karnataka,Uttara Kannada,81.1,724,49.2,2.4,69.3,69.3,56.7,0,4.8,3.6,2.8,0.6,7.4,3.7,42.5,63.8,97.9,87.4,99.3,29.6,21.9,33.3,3.3,Rest of India
Karnataka,Yadgir,51.9,922,26.4,3.5,64,63.7,57.6,0.1,1.7,2.1,1.1,0.3,7.5,5.9,23.1,65,97.9,73.3,93.3,57.6,17.7,45.2,2.3,Rest of India
Kerala,Alappuzha,97.8,1485,78.8,0.6,61.5,56.9,49.6,0.6,1.3,0.2,4.3,0,12.3,6,11,40.9,96.4,89.2,99.4,20.1,14.4,20.4,4.5,Rest of India
Kerala,Ernakulam,97.2,1034,83.8,1,69.7,61.5,51.9,0,1.5,0.3,6.1,0,10.7,6.8,12.9,79.9,90.9,96.1,99.1,22,17.1,19.4,5.4,Rest of India
Kerala,Idukki,93,859,73.2,2.2,72.3,67.8,60.5,0,2.1,0,5.2,0,9.4,5.3,22.3,64.3,96,94,100,24.3,14.5,23.6,2.3,Rest of India
Kerala,Kannur,96.7,880,74.1,0.4,61.9,54.2,47.7,0,1.3,0.7,4.3,0,12.7,9.2,16.8,77,95.3,93.4,100,19.4,14,17.9,3,Rest of India
Kerala,Kasaragod,90.8,984,68.3,1.4,56.4,46.6,39,0.2,2.4,0,3.5,0,12.5,6.4,23.9,69.1,92.8,95,100,25.3,12.6,21.4,1.6,Rest of India
Kerala,Kollam,96.6,1135,80.6,0.7,62.9,60.5,57.2,0,0.6,0.6,1.7,0.2,11.9,7.2,15.1,62,94.9,91.4,100,15.5,21.4,17,9.4,Rest of India
Kerala,Kottayam,97.9,865,85.8,0,44.7,40.3,33,0,1.9,0.7,3.6,0,16.1,5.6,17.5,40.8,90.4,85,98.7,23.4,8.4,17.3,3.2,Rest of India
Kerala,Kozhikode,97.7,1000,84.3,1,67.7,58.5,52.5,0,1.4,0.3,3.4,0,9.6,5.9,14.4,71.5,96.6,91,100,21.3,14.1,18.9,4.4,Rest of India
Kerala,Malappuram,94.9,807,69.5,0.3,58.6,41.5,36.8,0,0.8,0.4,1.9,0,13.8,8.5,10.9,61.3,91.5,96.9,100,29.4,18.2,21.4,3.3,Rest of India
Kerala,Palakkad,89.6,1012,63.2,0,58.9,51.9,48.1,0,1.7,0.2,1.9,0,10.8,6.7,14.6,56.6,87.3,97.5,100,29.7,21.7,27.7,1.1,Rest of India
Kerala,Pathanamthitta,97.7,916,84.5,0,59.3,54.4,47.6,0.2,2.6,0.5,3.4,0,12.3,4.9,16.2,63.1,92.2,95.2,99.1,22.7,11.4,11.2,5,Rest of India
Kerala,Thiruvananthapuram,94.5,1000,83.1,0.8,41.3,38.5,33.2,0,1.2,0.2,3.4,0,19.3,9.8,18.6,33.9,79.1,86.2,99.5,19.5,17.4,15.2,2.8,Rest of India
Kerala,Thrissur,97.8,763,79.2,0,69.7,61.5,52.9,0,2.9,0.6,4.6,0,10.9,4.9,10.1,59.7,87,95.2,100,22,9.6,17.3,6.1,Rest of India
Kerala,Wayanad,88.2,1003,68,0.5,78.9,69.5,64.8,0.2,2.7,0.2,1.1,0,5.6,4,11.8,68.5,97.7,95.9,100,31.3,16.1,22.5,6.5,Rest of India
Ladakh,Kargil,69.6,1336,50.3,0.4,46.9,41.6,14.1,0.3,5.7,6.6,8.6,5.1,8.8,4.9,9.1,55.4,99.1,78.3,93.7,36.5,17.7,21.8,14,Rest of India
Ladakh,Leh(Ladakh),66.3,949,49.8,0,55.6,54.2,19.3,0.4,10,6.6,9.3,7.2,7.1,3.2,15.8,62,96.5,80.8,96.4,24.3,17.2,19,12.7,Rest of India
Maharashtra,Ahmadnagar,77.4,845,45.7,0.7,69.5,67.4,56.6,0,1.7,1,8,0,8.3,2.6,19.5,31.7,94.4,90.9,97.9,31.7,24.9,41.2,1.8,Rest of India
Maharashtra,Akola,86.3,896,52.7,2,77,72.8,48.6,0.6,2.9,3.8,16.3,0.5,6.8,3.7,33.8,59.5,98.3,82.3,97.7,31.8,29.4,30.8,8.6,Rest of India
Maharashtra,Amravati,86.2,1090,55,2.2,79.2,77.7,56.4,1.3,1.3,3.7,14.4,0.3,4.6,2.5,20,52.8,99.1,80.2,91.3,29,26.2,38,2.2,Rest of India
Maharashtra,Aurangabad,78.4,875,48.4,1,48.1,46,28.8,0,2.4,2.8,11.7,0.3,17.1,5.1,11.8,44.4,95,76.4,94.8,34.2,26.4,42.9,2.8,Rest of India
Maharashtra,Bhandara,80.3,897,53.9,1.2,77.5,75.6,63.3,2.5,1.1,1.6,6.7,0.1,6.1,2.4,30.5,51.6,99.4,87.5,100,31.3,28.4,33.9,4.7,Rest of India
Maharashtra,Bid,64.6,843,38.6,2.2,58.1,56.7,42.9,0,3,2.2,8.4,0.1,13.9,4.5,14.5,48.5,97.6,79.8,94,40.8,28.4,36.8,3.5,Rest of India
Maharashtra,Buldana,78.1,1036,41.8,1.6,81.1,78.1,56.1,0.7,2.9,2.3,14.7,1.1,4.4,1.4,33.5,67.9,100,86.7,93.9,45,31.7,47.2,4.8,Rest of India
Maharashtra,Chandrapur,78.9,1025,57.5,1.7,80.1,78.1,60.1,1.6,3.1,1,11.9,0.3,4.5,2.7,39.1,57.4,100,92.3,99.6,37.3,38.5,46.6,7.6,Rest of India
Maharashtra,Dhule,73.5,919,40.8,2.5,51.9,50.3,41.2,0.3,1,1.1,6.7,0,13.1,5,19.1,48.4,93.7,77.2,77.2,37.6,38.9,46,0.2,Rest of India
Maharashtra,Gadchiroli,67.1,1098,42.3,0.4,76.5,76,50.6,13,0.6,1.2,10.1,0.2,5.6,3.2,32.7,58.3,98,91.5,97.3,35.7,30,35.4,9.5,Rest of India
Maharashtra,Gondiya,80.4,1050,54.1,1.6,78.3,77.8,62.3,5.8,0.9,1.1,6.6,0.3,7.8,2.4,36.4,61.7,98.7,90,99.1,36.9,23.7,35.6,8.3,Rest of India
Maharashtra,Hingoli,69.4,838,33.2,1.4,73.1,72.9,58.7,0,1.3,3.5,8.8,0.5,10.4,5.6,11.3,41.5,98.8,82.4,94,37.4,25.8,38.9,1,Rest of India
Maharashtra,Jalgaon,77.5,857,40.8,2.2,44,43.6,35.4,0,1.8,0.6,5.6,0.1,14.9,4.9,9.4,47,91,74.5,86.5,36.3,30.5,36.9,1.5,Rest of India
Maharashtra,Jalna,67.6,867,34.3,2.2,49.7,48.9,34.7,0.1,1.6,2.6,9.6,0.1,13.1,3.9,15.7,43.3,96.1,74,92.8,38,22.2,39,1.3,Rest of India
Maharashtra,Kolhapur,80.2,937,53.8,0.4,71.4,69.2,60.2,0,0.4,1.7,6.6,0,8.1,3.5,27.9,52.4,95.3,95.2,99.2,33.6,18.9,34.7,4.3,Rest of India
Maharashtra,Latur,70.6,1265,40.7,2.6,78.2,77.2,64,0,0.9,2.7,9.5,0.1,4.6,3.3,18.6,72.5,100,93.3,94.7,43.2,18,33.9,5.3,Rest of India
Maharashtra,Mumbai Suburban,88.5,703,65.7,1.3,64.6,58.7,37.5,0,2.2,0.9,18,0,10.4,3.4,20.4,48.2,92.6,91.5,98.1,37.2,18.6,24.6,10.5,Rest of India
Maharashtra,Mumbai,92.5,1019,71.1,0,74.3,71.7,47,0,4.1,1.9,18.1,0.2,4.9,1.9,19.2,77.8,93.1,90.6,99.5,26.6,25.3,29.6,6.1,Rest of India
Maharashtra,Nagpur,86.5,926,67.6,0.9,84.1,81.2,61,0.6,3.5,1.7,14,0.4,4.2,2.6,39.5,62.4,96.6,91.4,100,27.6,34,33.9,10.1,Rest of India
Maharashtra,Nanded,68.1,888,31.6,1.7,68.1,67.3,58.5,0,1.5,1.6,5.3,0,9.2,4.3,15.3,49.9,96.7,76.1,94.8,36,19,35.2,3.5,Rest of India
Maharashtra,Nandurbar,63.5,885,29.9,3.4,62.6,61.2,50.7,2,1.2,3.4,3.6,0.1,9.7,3.7,11.8,50.3,99.2,74.4,76.3,45.8,30.7,57.2,3.7,Rest of India
Maharashtra,Nashik,78.2,816,42.6,2.4,55,54,41.3,0.3,1.5,1.8,8.8,0.2,12,4.6,10.7,55.7,96,76.5,90.5,42.2,27.2,44.8,2.2,Rest of India
Maharashtra,Osmanabad,71.3,1050,41.5,1.1,78.9,77.1,62.1,0,1.7,3,9.7,0.6,6.4,3.3,28.5,58.1,95.8,94.4,98.1,37.2,16.1,32.5,1.8,Rest of India
Maharashtra,Palghar,77.5,747,48.3,0.9,71.8,66,49.6,0.1,1.2,1.9,12.4,0.2,8.2,4,21.6,53,92.9,97,94.2,33,23.9,37.1,9.3,Rest of India
Maharashtra,Parbhani,67.1,983,28.8,3.4,42,41.5,33.5,0,1.3,1,5.4,0.2,18.5,6.1,17.4,48.3,89,64.4,85.6,37.6,22.8,41.8,3,Rest of India
Maharashtra,Pune,84.8,873,61.2,0.7,57.8,55.9,43.3,0,2.3,2.3,7.6,0,13.7,5.2,23.5,35.7,93.1,84.2,98,30.7,31.4,32.7,1.3,Rest of India
Maharashtra,Raigarh,73.7,871,45,1.3,73.6,70.9,55.1,0,1.5,2.2,11.6,0.2,6.1,3.4,22.4,64.7,98.4,93,96.6,NA,NA,NA,NA,Rest of India
Maharashtra,Ratnagiri,80.3,948,41.2,0.7,62.3,60.5,50.1,0,1.6,1,7.6,0,10.4,3.8,22,57.5,97,89.7,97.8,31.7,23.7,29.5,3.8,Rest of India
Maharashtra,Sangli,80.4,1012,54.6,0.8,67.1,64.7,56.5,0.3,1.1,0.9,5.7,0.2,10.4,4.7,27.6,56.2,97.1,95.6,98,35,18.6,27.2,6.7,Rest of India
Maharashtra,Satara,78.5,958,48.3,1.3,74.7,72.8,61.8,0.1,2.4,1,7.4,0.2,6.2,3,26.8,68.1,96.7,94.5,97.1,20.2,20.5,28,2.3,Rest of India
Maharashtra,Sindhudurg,83.1,874,49.4,0.7,58.7,56.8,45.9,0,1.2,1.2,8.5,0,12.1,4.6,26.8,63.8,100,96.7,100,30.8,27.7,32,5.9,Rest of India
Maharashtra,Solapur,72,960,36,4.4,75.7,74.2,66.4,0,1.7,2.3,3.7,0,5.6,1.7,35.1,54.4,96,89.6,96.2,36.3,23.2,32.9,4.3,Rest of India
Maharashtra,Thane,86.1,1029,55.9,1.9,61.6,57.1,37.6,0,1.7,1.7,16.1,0,10.3,5.3,24.7,56.9,93.4,NA,93.6,40.8,17.8,30.8,5,Rest of India
Maharashtra,Wardha,85.1,1173,56.5,0.5,79.2,78.1,64.3,0.4,1.5,2.4,8.6,0.8,6.6,3.7,36.5,52.8,98.6,89.9,98.8,27.7,28.1,31.3,4,Rest of India
Maharashtra,Washim,76,991,42,3,71.3,68.3,54.8,0.3,1.3,0.9,10.7,0.1,8,4,14.2,37.9,99.2,83.4,92.9,35.3,31.7,39.3,6.9,Rest of India
Maharashtra,Yavatmal,77.6,1012,38.9,1.6,78.3,75.7,64.6,0,1.7,1,7.5,0.6,5.5,2.9,22.4,62.2,98.8,85.6,96.3,36.6,27.5,39.4,6.7,Rest of India
Manipur,Bishnupur,81.5,945,48.7,1,46.3,21.6,5.3,0.1,3.9,8.2,3.7,0.2,20,5.7,8.6,42.4,93.5,79,89.5,15.5,7.9,11.7,3.1,Rest of India
Manipur,Chandel,76.9,1008,43.3,1.9,56.6,23.6,4.9,0,9,4.3,4.9,0.3,11,4.8,10.6,49.9,79.9,55,55.5,34,8.3,14.7,8.7,Rest of India
Manipur,Churachandpur,84,1057,36.6,3.6,61.8,22.6,5.6,0,6.3,4.1,5.5,0.2,8.7,4.2,5,48.1,78.1,58.2,72.9,25.1,12.1,9.8,4.5,Rest of India
Manipur,Imphal East,87.2,936,49.9,1,50.1,16.9,3.9,0,3.1,4.1,5.4,0,16.7,5.4,6.3,44.5,53.8,85.4,91.7,18.4,11.7,14.4,0.5,Rest of India
Manipur,Imphal West,89,1039,61.9,0,69.9,16.4,3.5,0.1,4.5,3,5.2,0,12.5,6.4,7.1,35.4,50,90.8,95.7,15.6,9.3,10.2,2.6,Rest of India
Manipur,Senapati,79.6,938,39.6,2.5,65.2,17.5,2.8,0.1,4.3,6.1,3.2,0.8,8.5,4.1,6.4,44.9,77.1,37,45.8,27.3,10.7,12.9,6.7,Rest of India
Manipur,Tamenglong,78.4,932,33.1,2.3,65.2,22.2,3.9,0,12.3,1.5,4.4,0,8.4,3.2,4,52.5,78.3,52.7,57.7,27.1,9.6,19.3,1.6,Rest of India
Manipur,Thoubal,79.9,909,40.7,0.6,72.2,17.8,2.4,0,5.5,4.9,4.8,0.2,6,2.3,2,54.2,91.4,75.6,87.8,31.5,8.3,14.9,4.9,Rest of India
Manipur,Ukhrul,83.7,996,49.7,5.1,56.9,12.3,2,0,3.8,2,2.9,0.8,12.7,5.2,6.7,41.4,78.3,44.9,44.6,27.1,11.6,16,2,Rest of India
Meghalaya,East Garo Hills,90.9,1427,40.5,1.9,37,35.8,4.4,0,4.7,18.5,4.9,2.2,21,12.4,22.1,79.2,92.1,59.9,73.8,39.7,20.1,26.5,4.1,High-Fertility States
Meghalaya,East Jantia Hills,76,1015,23,6.3,33.6,24,9.2,0,1.9,7.6,2,3.4,26,20.1,44.1,81.1,94.6,49.1,48.4,49.8,8.5,23.6,3.7,High-Fertility States
Meghalaya,East Khasi Hills,88.7,851,43.5,4.2,12.1,10.6,4.3,0,2.4,1.8,1.6,0.2,33,25.2,22.7,NA,87.8,33.6,63.4,44.6,11.2,23.8,4.5,High-Fertility States
Meghalaya,North Garo Hills,91.3,894,38.4,1.1,19.2,17.7,2.9,0,3.4,7.4,3.2,0.7,25.2,12.9,8,70.4,85.8,40.5,61.5,35.6,11.7,15.8,7.3,High-Fertility States
Meghalaya,Ribhoi,85.3,871,23.1,5.5,33.1,19.7,6.3,0,4.9,3.7,4.4,0.2,27,18.4,34.2,71.1,97.5,39.5,56.9,42.5,17.9,29.6,4.8,High-Fertility States
Meghalaya,South Garo Hills,89.2,1011,38.4,1.3,37.6,33.3,3.8,0,9,15.8,2.8,1.6,25.3,14.4,20.3,63.7,98.9,65.9,88.3,29.8,18.3,20.8,2.7,High-Fertility States
Meghalaya,South West Garo Hills,81.7,1036,33,0.3,36.7,32.3,3.5,0,5.5,14.9,6.2,1,30.4,16.7,24.2,82.9,99,60.6,83.7,32.2,19.9,26.4,3.3,High-Fertility States
Meghalaya,South West Khasi Hills,84.6,1032,23.4,6.5,26.5,15.7,6.2,0,1.2,5.6,1.2,1.1,26.2,20.1,42.8,82.3,97,42.9,41.7,51.4,10.4,27.6,3.5,High-Fertility States
Meghalaya,West Garo Hills,88.7,1396,45.1,0.3,44.1,39.9,6.7,0,9.5,17.4,4.1,1.6,19.7,9.2,32,58.1,97.6,70.9,89.6,39.5,14.9,26.3,5.2,High-Fertility States
Meghalaya,West Jaintia Hills,73.8,1036,24.7,4.8,19.3,17.5,4.5,0,2.5,7.1,1,2.4,29.3,21.7,31.4,70.4,88.1,28.6,42.2,48.7,9.7,28.3,3,High-Fertility States
Meghalaya,West Khasi Hills,85.1,984,16.4,8,26.3,15.3,9.3,0,1.6,2.8,0.5,1.1,25.8,21.1,43.4,72.8,97.3,42,41.7,59,8,31.1,3.1,High-Fertility States
Mizoram,Aizawl,97.8,1042,60.7,0.9,21.6,21,6.9,0,2.8,9.7,1.6,0,24,14,12,44.4,93.1,73.4,97.4,25.3,7.3,9.6,12.3,Rest of India
Mizoram,Champhai,93.3,726,47.8,1.4,50,49.6,22.5,0,4.2,19.6,2.5,0.2,11.2,8.3,24.9,70,100,72.3,96.7,27.2,12.1,13.1,10.6,Rest of India
Mizoram,Kolasib,93.9,860,41.7,1.6,38.1,37.9,16.7,0,2.2,17.4,1.6,0,15.6,11.7,18.7,73.9,97.8,71.5,91.4,30.4,11.3,12.6,7.6,Rest of India
Mizoram,Lawngtlai,79.9,1131,32.2,2.6,29.7,29.1,12.2,0,1.6,12.1,2.8,0.3,17.3,13,11.3,59.1,93.8,46.2,53.7,32.7,16.2,16.9,9.1,Rest of India
Mizoram,Lunglei,89.8,876,46.3,0.8,33,33,18.8,0,1.7,10.2,2.3,0,15.4,12.5,13,62.8,99.2,67.1,82.7,26.5,9.5,11.1,10.1,Rest of India
Mizoram,Mamit,90.7,794,40,1.2,41.6,41.3,17.7,0,4,19.2,0.2,0.2,17,14,15.8,62.6,98.9,63.9,75,26.4,7.4,13.9,5.9,Rest of India
Mizoram,Saiha,92.2,1171,50.2,2.7,22.6,21.7,7.9,0,4.3,6.9,2.5,0.2,22.5,15.2,22.2,43.9,96.9,59.6,73.8,43.8,7.7,17.6,11.1,Rest of India
Mizoram,Serchhip,96.8,1084,43.1,1.3,40,39.4,15.6,0,2.6,19.5,1.8,0,15.9,11.8,17.3,59.8,99.3,86.2,96.2,31.8,8.4,14.4,8.7,Rest of India
Nagaland,Dimapur,89.8,911,52.5,3,46.9,38.4,15.7,0,9.6,9.1,3.4,0,14.3,5.8,7.3,36.7,82.3,68.7,73.7,28.3,25,29.8,3.8,Rest of India
Nagaland,Kiphire,77.4,871,22,2.4,42.5,32.7,5.8,0,20.2,3.8,2.5,0.2,17.3,10.2,9.7,66.1,92.4,31.9,34.8,36.9,11,25,7.5,Rest of India
