State,District,Female population age 6 years and above who ever attended school (%),"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Women with 10 or more years of schooling (%),Births in the 5 years preceding the survey that are third or higher order (%),Any method6 (%),Any modern method6 (%),Female sterilization (%),Male sterilization (%),IUD/PPIUD (%),Pill (%),Condom (%),Injectables (%),Total unmet need7 (%),Unmet need for spacing7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method8 (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Institutional births (%),Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),State_Type
Nagaland,Kohima,90.4,1075,70.9,1,60.7,46.7,18.6,0,19,4.5,3.1,0.4,9.1,7.2,11.6,51.5,95.2,58.9,66.9,28.3,26.9,22.1,6.6,Rest of India
Nagaland,Longleng,81.2,922,23.8,3.9,66.5,56.3,16.4,0,32.2,3.8,2.2,0.1,4.3,2.9,9.4,55,91.6,28.5,38.7,34.1,19.8,25.7,6.8,Rest of India
Nagaland,Mokokchung,88,1075,55.8,2.6,66.7,52.5,16,0,25.8,6.1,3.3,0,6.4,3.4,11.4,70.3,96.6,47.4,51.5,31.4,11.7,22.9,5.9,Rest of India
Nagaland,Mon,79.4,775,24.3,2.6,68.7,55.6,12.6,0,31.8,7.2,2.2,1.1,3.7,0.6,11.2,79.8,95.8,25.6,21.4,35.5,7.8,23.3,3.2,Rest of India
Nagaland,Peren,81.1,896,35.5,5,58.6,42,9.9,0,19,7,4,0.5,6.2,4.5,8.2,75.9,97.3,46.9,43.5,34.9,9.1,20.7,4.1,Rest of India
Nagaland,Phek,80.5,880,39.4,5.8,56.3,47.1,15.1,0,21.7,4.1,5.1,0.4,6.5,3.5,11.3,63.1,97.6,39.6,32.2,28,12.9,15.6,6.8,Rest of India
Nagaland,Tuensang,80.5,902,27,3.8,52.6,37.4,9.9,0,15.6,5.8,3.2,0.5,12.9,5.9,7.9,51.7,90.9,29.5,34.8,37.1,24.6,34.2,5.5,Rest of India
Nagaland,Wokha,85.8,1245,45.3,1.7,64.6,50.1,15.7,0,22,6,4.7,0.2,3.2,1.4,10.8,58.1,96.8,50.7,43.6,26.3,23.5,28,1.1,Rest of India
Nagaland,Zunheboto,87.4,1207,40.2,5.3,68.8,56.5,19.3,0,28.2,5.5,1.9,0.2,2.8,0.7,14.8,70.4,90.7,24.9,35,44,26.9,44.5,1.5,Rest of India
Odisha,Anugul,73.2,868,33.7,0.4,85.8,52.6,25.7,0,2.8,16.3,6.6,0.3,2.9,1.5,11.9,62,99.6,84.8,85.7,28.1,25.1,30.5,3.5,Rest of India
Odisha,Balangir,69.3,919,31.4,0.7,77.8,58.6,34.9,0.1,2.9,15.1,3.6,0.2,3.4,1.8,30.8,84.9,100,96.5,97.9,32.7,25.5,37.6,2.1,Rest of India
Odisha,Baleshwar,77.1,866,38.3,0,68.3,49.7,21,0.2,2,18.3,7.1,0.2,9.3,2.8,21.7,59,98.2,87.6,97.6,24.4,15,22.6,3.8,Rest of India
Odisha,Bargarh,72.1,950,37.4,0.4,75.4,55.7,33.2,0,3.3,11.6,6,0.3,5.1,1.6,28,80.9,100,92.7,99.6,38.9,18,30,2.9,Rest of India
Odisha,Baudh,68.6,844,29.9,0.4,70.7,45.3,21.5,0.2,1.8,15.6,5.4,0,5.2,2.1,28.5,67.3,99.6,89.6,93.4,37,20.1,38.6,1.6,Rest of India
Odisha,Bhadrak,81.2,980,37,1.3,72,50.4,28.5,0,1.1,15.4,3.9,0.3,11.8,5.3,14.3,67.8,99.6,89,96.1,32.3,15.8,28.9,4.5,Rest of India
Odisha,Cuttack,80.6,745,40.9,0,84.4,47,26.1,0.2,2.8,8.2,8.5,0.5,3.7,1.1,9.8,53.3,100,92.5,98.9,20.4,14.2,18.9,5.6,Rest of India
Odisha,Debagarh,71.8,822,31.3,0.9,74.1,42.8,21.9,0,4.1,11.9,3.8,0.2,6.8,2.4,21,71.4,100,88.5,91.2,28.4,27.3,34.3,3.2,Rest of India
Odisha,Dhenkanal,76.2,895,33.3,0.8,75.9,48.2,31.5,0.3,1.4,10.7,3.4,0.3,8.1,2.4,23.9,64,100,90.7,94.8,33.3,22.7,30,6.8,Rest of India
Odisha,Gajapati,55.5,999,22.5,2,76.2,53.9,40.7,0.5,2,6.6,0.8,1.1,5.4,2.2,26.2,80.2,99.5,78.2,76.4,43.4,16.1,34.3,6.1,Rest of India
Odisha,Ganjam,68.6,855,32.6,0.7,59.2,46.7,33.9,0,1.1,3.9,6.4,0.1,16.9,5.8,32.3,80.1,99.1,89.3,93,23.9,10.2,18.9,4.9,Rest of India
Odisha,Jagatsinghapur,84.7,843,46.6,0,71.9,38.8,22,0,2.1,6.8,7.3,0.5,11.5,3.5,13.5,56.5,98.2,89.2,98.3,13.2,10.7,11,8.3,Rest of India
Odisha,Jajapur,78.7,898,38,0.9,76.2,44.9,27.1,0,1.9,7.8,7.2,0.1,9,2,11.9,54.1,99.2,92.4,93.8,25.5,15.9,21.8,2.2,Rest of India
Odisha,Jharsuguda,77.8,793,40.9,2.6,81.4,50.3,28,0.2,3.3,9.1,8.4,0.2,3.7,1.3,25.5,93.5,100,96.4,98.6,27.1,16.9,26.9,3.1,Rest of India
Odisha,Kalahandi,62.5,903,26.5,0.5,75.9,48.6,29.4,0.2,1.8,11.3,4.4,0.1,4,1.6,36.1,80.7,99.4,94,92.8,33,17.2,33.6,2.1,Rest of India
Odisha,Kandhamal,64.2,985,28.1,1.1,76.7,49.6,19.2,0.3,6.3,16.1,5.8,0.3,4.5,2.5,24.4,72,100,90.6,93.9,34.2,23.3,35.2,2.4,Rest of India
Odisha,Kendrapara,84.3,860,42.5,0.8,64.7,34.3,20.6,0.2,1.1,7.4,4.5,0.2,12.3,4.2,22,48.3,99.1,85.5,96.7,28.6,7.9,17.9,6.6,Rest of India
Odisha,Kendujhar,68.2,984,29.5,2.3,77.6,45.8,21.3,0,3.7,13.8,5.4,0.1,3.8,1.4,16.9,67.2,98.3,75.4,80.4,36.2,23.8,37.1,0.9,Rest of India
Odisha,Khordha,84.4,810,43.2,0,74.7,42.4,24.5,0.4,2,5.6,8.4,0.3,7.4,1.7,28.9,73.8,100,95.4,97.8,17.1,13.2,16.9,3.3,Rest of India
Odisha,Koraput,50.6,1014,17.6,0.6,65.4,56,34.8,4,3.6,8.4,3.3,0,6.6,2.9,44.9,84.8,99.7,83.5,82.1,43.1,15.9,33.5,3.7,Rest of India
Odisha,Malkangiri,48.9,981,14,2.2,74.1,53.4,34.3,1,4.2,9.1,2.4,0.1,4.4,2,37.1,82.8,99.1,89.5,90.7,44.3,19.3,41.6,1,Rest of India
Odisha,Mayurbhanj,63,837,25.1,1.3,76.3,50.8,25,0.3,2.9,14.9,5.4,0.1,5.9,2.5,18.4,69.4,98.7,86.3,91.7,36.7,28.5,45.9,3,Rest of India
Odisha,Nabarangapur,52.9,1045,15.5,1.5,77.1,56.3,30.7,0,2.5,18.5,2.3,0.1,3.4,2.1,27.5,86.9,100,89.3,87.6,44.1,25.2,46.6,5,Rest of India
Odisha,Nayagarh,76.1,845,27.1,0,78.2,43.7,31.7,0.1,1.7,4.2,5.5,0,4.6,1.5,32.2,81.8,100,96.2,98.3,20,10.5,20.2,2.9,Rest of India
Odisha,Nuapada,60.9,1025,27.3,1.2,71.4,54.9,34.1,0.1,4.4,11.2,3.6,0.8,7.3,2.4,38.3,73.8,100,85.9,89.8,43.1,18.1,38,3.7,Rest of India
Odisha,Puri,83.3,782,38.1,0.5,74.4,48.6,31.1,0,2.7,7.7,5.8,0,7.3,2.9,31.8,82.6,99.5,93.9,97.7,13.8,8.9,11.3,3.8,Rest of India
Odisha,Rayagada,50.8,951,19.1,1.4,72.7,45.3,30.6,1.5,2.2,6.7,1.9,0.7,6.1,2.6,30.1,77.3,99.6,69.7,68.9,43.6,16.1,39.8,0.6,Rest of India
Odisha,Sambalpur,74.6,1061,36.5,1.9,77.1,58.1,32.6,0.3,2.5,14.5,5.5,0.4,9.1,3.6,24.2,83.9,100,90.5,99.5,40.7,25.5,36.3,3.7,Rest of India
Odisha,Subarnapur,74.4,924,37.8,0.3,77.4,57,27.9,0,4.4,18.8,3.6,0.2,5.8,1.7,25.8,88,100,93.1,96.1,29.6,26,34.5,3.1,Rest of India
Odisha,Sundargarh,72,809,35.6,0.5,79.7,47.9,24.9,0.5,4.6,11,5.5,0.5,2.4,0.6,25.1,77.4,99.1,79.7,91.3,32.9,21.1,34.7,1.2,Rest of India
Puducherry,Karaikal,86.3,884,59,0,59.7,57.9,51.3,0,1.8,0.4,3.9,0.1,10.2,3.7,28.8,73.8,99.3,95,99.6,25.5,15.3,19.7,4.3,Rest of India
Puducherry,Mahe,99.2,1202,88.2,1.8,73.6,65.9,54.4,0,1.6,0.1,9,0,6.8,4.9,12.4,74.1,94.4,96.8,100,48.2,7.3,32.6,2.6,Rest of India
Puducherry,Puducherry,83.8,963,67.2,0.6,66.5,62.1,53.3,0.3,1.9,0.5,5.2,0.5,11.4,3.1,24.6,60.3,98.9,92.1,99.5,17,11.6,13.1,3.4,Rest of India
Puducherry,Yanam,80.9,1154,51.6,2.5,79.6,78.5,71.8,1.9,0.9,0.4,2.9,0.2,1.2,0.3,34.9,59.4,98.2,97.1,100,25,12.4,18.7,6.9,Rest of India
Punjab,Amritsar,78,1037,56.7,2,68.9,57.6,26.2,0.8,2.7,0.6,26.3,0,9.7,3.7,24.5,81.7,98.6,90.1,95.9,19.4,11.9,11.2,6.3,Rest of India
Punjab,Barnala,72.4,755,53.1,0.8,69.3,53.6,25.8,0.6,3.2,2.9,20.7,0.2,9.4,3.6,17,69.4,93.9,86,96.7,33.8,9.4,16.5,6.1,Rest of India
Punjab,Bathinda,68.7,820,41.1,0.3,45.3,40.7,17.5,0.8,6.2,2.5,13.2,0.1,17.7,4.9,16.8,72.5,90.9,78.7,93.1,23,15.4,23.8,1.2,Rest of India
Punjab,Faridkot,71.7,914,46.5,2.8,56.3,47.7,24.7,0.2,3,2.3,17.1,0.3,15.7,5,13.4,78.4,92.8,81.7,94.3,28.1,10.3,20.7,2.7,Rest of India
Punjab,Fatehgarh Sahib,80.1,844,62.3,0.4,71.6,44.1,16.3,1,2,0.8,23.6,0.1,7.7,2.3,28.4,66.1,99.5,95.5,96.6,30,7.1,18.2,4.6,Rest of India
Punjab,Fazilka,70.8,951,41.3,2.5,68,56.3,28.6,0.2,4.3,2.7,20.1,0.1,7.1,2.6,12.2,68.6,95,84.3,91.7,35.9,9.5,20.2,4.2,Rest of India
Punjab,Firozpur,72.5,892,47.5,1,77.3,63.3,31,0.3,6.9,1.2,23.3,0.3,5.4,1.8,14.8,70.4,97.2,83.9,95.5,30,12.9,22,2.9,Rest of India
Punjab,Gurdaspur,79,746,64.6,1.6,58.5,43.3,17.1,0.3,3.3,1.7,20.8,0.2,15.4,6,27.7,96.3,98.7,86,92.4,25.1,9.5,15.3,6.5,Rest of India
Punjab,Hoshiarpur,89,970,73.2,1.4,65.6,46.3,20.4,0.1,1.2,1.4,22.6,0,11.9,5.7,22.8,NA,100,92.9,98.3,19.3,11.5,12.4,3.8,Rest of India
Punjab,Jalandhar,82.1,936,64.4,2.3,66.6,40.1,14.9,0.2,2,1,21,0.3,8.8,2.1,26.9,81.2,98.8,88.2,92.3,24.8,10.3,16.7,1.8,Rest of India
Punjab,Kapurthala,79.2,922,60.3,1.6,61,47.2,22.1,0.8,1.6,1.6,20.5,0,13.4,4.4,19.5,86.4,95.3,88.4,95,24.6,12.8,19.2,4.9,Rest of India
Punjab,Ludhiana,81.4,964,61.6,0.8,69.8,50.5,21.2,0.3,1.8,0.5,26.6,0,8.3,3.8,25.1,88.9,96.2,82.5,90.1,22.1,5.9,12.4,6.4,Rest of India
Punjab,Mansa,63.6,871,37.5,2.4,67.6,57.2,30.9,1,7.3,2.2,15.7,0,7.2,2.8,19,66.7,94.9,84.3,88.8,36.6,12.1,22.7,3.1,Rest of India
Punjab,Moga,72,1014,45.2,1.5,75,60,25.6,0.6,3.2,1.9,28.2,0,8,2.7,16.7,70,99.5,87.4,93,22,12,16.8,4.9,Rest of India
Punjab,Muktsar,68.5,877,39.8,3.6,72,59.7,31.3,0.6,3,1.7,22.6,0.3,6.2,2.3,13.3,81.9,95.5,88.1,96.4,35,13.6,30.7,2.8,Rest of India
Punjab,Pathankot,82.8,756,74,0,62.6,42.7,15.5,0,1.7,2.8,22.2,0,10.5,3.6,25.1,81.3,97.9,88.5,94.8,22.1,10.3,10.8,7.8,Rest of India
Punjab,Patiala,76.9,954,56,1.3,71.7,49.3,23.1,0.6,2.8,1.2,21.1,0.3,7.5,3.8,22.8,78.4,93.6,81.8,97.3,20.3,9.9,16.9,0.4,Rest of India
Punjab,Rupnagar,81.8,1022,64,0,71.8,49.8,25.6,0.3,1.8,1.3,20.5,0,10.8,3.5,25.2,58.9,96.7,83.9,97.8,15.1,9.1,15.3,2.5,Rest of India
Punjab,Sahibzada Ajit Singh Nagar,84.3,855,62.5,0.4,76.5,53.6,20.1,0.4,2.4,1,29.7,0,4.7,2.4,29.4,69.6,98.6,87.3,97.4,26.2,10.7,23,4.6,Rest of India
Punjab,Sangrur,73.5,798,54.4,2,57,48.2,23.3,0,4.3,2.7,17.9,0,12.3,3.4,19.4,82.8,96.5,86.6,94.7,23.4,10.4,18.1,2.7,Rest of India
Punjab,Shahid Bhagat Singh Nagar,82.3,833,65.4,0,66.1,49.4,19.4,1.3,3,0.5,25,0.1,10.8,4.4,22.8,77.8,100,96.6,99.3,17.9,12,11.2,6.6,Rest of India
Punjab,Tarn Taran,68.6,890,40.4,2.2,73.7,60.7,32.6,0.5,2.3,1.2,23.7,0,8,4.1,19.2,80.6,99,85.5,96,23.8,11.3,14.4,4.5,Rest of India
Sikkim,East District,86.4,1000,53.2,0,54.3,42.8,14.7,0.8,3.9,11.6,9.1,1.6,17.7,7.2,17,52.9,91.9,65.8,91.8,17.8,14.3,13,6.5,Rest of India
Sikkim,North  District,78.5,693,37.7,0,75.7,61,19,0.6,7.5,17.5,9.8,5.4,12.8,6.9,28.6,50.4,95.5,71.3,97.3,31.8,4.5,15.3,14.1,Rest of India
Sikkim,South District,80.2,1353,45.7,0,85,67.6,19,3,6.6,20.1,9.5,9,5.2,2.8,24.3,67.2,99.4,83.1,97.4,24.8,8,7.2,16.6,Rest of India
Sikkim,West District,81.8,685,43.9,0,88.2,70.8,8,3,11,33,9.2,1.8,4.3,1.1,19.8,69.1,96.4,63.6,99.3,25.2,21.1,19.3,6.5,Rest of India
Tamil Nadu,Ariyalur,73.5,807,50.7,0.5,61.4,60.2,49.6,0,8.3,0,0.9,0.1,7,3.1,31.4,86.9,100,95.7,100,25.3,15.1,20.1,1.6,Rest of India
Tamil Nadu,Chennai,92.7,859,76.7,1,65.8,63.6,55.7,0.4,4.9,0,1.7,0,6.9,2.5,23,86.6,96.8,95,100,20.4,18.3,21.9,9.4,Rest of India
Tamil Nadu,Coimbatore,84.2,952,62.8,1.3,66.5,62,53.1,0,5,0,3.1,0,9.1,2,40.9,88.8,100,95.4,100,23,7,18.5,4.2,Rest of India
Tamil Nadu,Cuddalore,76.8,819,50.1,0.8,65.3,63.5,58.1,0,2.7,0.4,1.8,0,9.2,3.6,24,75.1,98.3,87.7,99.2,20.2,13.9,18,1.6,Rest of India
Tamil Nadu,Dharmapuri,72.6,1052,54.4,0.6,70,68,61.1,0,6.4,0,0.4,0,8.5,3.5,36.3,95.5,100,98,99.6,28.7,16.9,23.2,8.9,Rest of India
Tamil Nadu,Dindigul,77.8,816,50.1,0.8,74.2,71.4,62.2,0,6.9,0.8,1.1,0.3,6.3,2.8,29.8,84.8,99.1,95.3,97,27.1,21.1,28.4,2.2,Rest of India
Tamil Nadu,Erode,73.1,807,57.8,0.3,70.6,67.4,61.3,0,3.6,0.4,1.8,0.2,4.9,2,51.5,96.4,100,96.5,100,19.4,20.9,26.9,2.8,Rest of India
Tamil Nadu,Kancheepuram,85,889,56.8,0,69.3,67.3,59.6,0.2,4.7,0.2,2.3,0.2,7.2,4.2,15.7,62.1,97.6,87.3,100,20.6,15.7,19.8,3,Rest of India
Tamil Nadu,Kanniyakumari,92.9,880,77.1,0,70.3,66.6,60.8,0,2.9,0,1.5,0,4.9,3.4,29.8,86.8,97.3,86,100,17.3,11.4,14.5,2.8,Rest of India
Tamil Nadu,Karur,73.2,839,51.2,0.8,65.8,63.5,58.3,0,3.9,0,0.9,0.4,7.5,2.3,30.3,77.6,97.3,96.4,100,33.6,18.4,36.3,2.4,Rest of India
Tamil Nadu,Krishnagiri,72.6,857,53.9,1.4,70,67.7,60.7,0.2,6,0,0.4,0.4,4.9,1.9,40.2,98.7,99.5,95.5,99.6,29,10.4,19.3,10.1,Rest of India
Tamil Nadu,Madurai,83.9,815,58.6,0.5,69.7,68.4,58.3,0,6.4,0.6,3.1,0,8.7,4.2,21.5,88,100,91.4,100,32.4,9.5,21.5,4.7,Rest of India
Tamil Nadu,Nagapattinam,79.2,799,53.7,0,65.9,61.9,53.9,0,5.8,0.1,1.8,0.2,8.5,2.3,20.9,70.4,100,91.9,99.7,32.3,12.5,24.3,0.8,Rest of India
Tamil Nadu,Namakkal,73.5,1130,55.7,0.6,65.2,62.3,55.3,0,4.1,0,1.9,0.6,6.5,2.3,32.9,85.5,100,94.8,100,25.2,10.3,15.7,6.3,Rest of India
Tamil Nadu,Perambalur,73.1,887,49,1.3,63.1,58.9,48.7,0,7.7,0.6,0.9,0,11.4,3.1,30.2,83.3,99.4,90.1,100,29.1,15.9,22.3,2.9,Rest of India
Tamil Nadu,Pudukkottai,74.7,804,52.2,0.4,68,64.3,55.8,0,6,0.7,1.2,0,12.2,5.6,24.6,82.3,99.2,95.4,100,32.2,9.5,21.6,2.8,Rest of India
Tamil Nadu,Ramanathapuram,80.3,787,53.7,1.1,72.2,68.1,56.6,0,6.5,1,2.5,0.8,7.9,3.9,28,82.7,100,94.9,99.6,26.4,17.7,21.6,6.3,Rest of India
Tamil Nadu,Salem,74.4,900,51.3,1,69,64.1,56,0,4,1.1,2.1,0.6,5.6,1.4,41.7,86.8,100,92.9,100,23.6,10.1,20.8,6.3,Rest of India
Tamil Nadu,Sivaganga,78.8,1127,59.9,2.1,67.3,66.1,59.7,0,4.9,0,0.5,0.2,7,2.4,27,88.5,99.3,89.1,100,27.6,22.8,28.4,9.1,Rest of India
Tamil Nadu,Thanjavur,80.6,934,54.3,2.1,64.8,60.6,51.7,0,4.9,0.2,2.6,0.3,9.5,2.7,23.3,66,99,93.8,100,19.6,8.3,21.9,4.9,Rest of India
Tamil Nadu,The Nilgiris,85.2,1035,63.4,0,77.9,74.7,68.9,0,4.5,0.2,1,0.1,6,1.6,35.3,88.9,99.4,91.5,100,26.7,17.3,23.2,8.5,Rest of India
Tamil Nadu,Theni,80.9,1057,56.9,0.9,70.6,67.1,56.1,0,8.2,0.3,1.8,0.5,7.3,3.5,32.1,88.7,100,97.1,100,20.2,15.5,18.8,4.2,Rest of India
Tamil Nadu,Thiruvallur,83.5,991,57.2,1.1,67.9,66,59.1,0,3.8,0.7,2.2,0.2,9.3,3.4,21.9,61.3,95.6,90.3,100,18.1,17,20.6,2.1,Rest of India
Tamil Nadu,Thiruvarur,84.9,901,57.5,0.6,70.2,66.7,59,0.2,4.3,0.3,1.6,0,9.6,4.7,26.2,78.4,97.2,89.5,100,19.8,18.4,21.5,3,Rest of India
Tamil Nadu,Thoothukkudi,86.6,734,59.5,0,67.6,63.8,52.4,0,6.6,0.3,3.9,0.4,8.1,3,28.8,90.8,100,94.8,100,20.3,18.4,21,6.7,Rest of India
Tamil Nadu,Tiruchirappalli,80.7,919,57.1,1,68.1,61.5,49.6,0,6.8,1.1,2.6,0.6,11.1,4.4,28,87.8,98.8,97.6,98.6,27.6,20.9,27.4,3.1,Rest of India
Tamil Nadu,Tirunelveli,84.4,939,54.2,1.2,69.8,64.4,55.4,0.2,5,0,2.7,0.3,7.1,3.7,23.5,77.4,98,92.9,100,29.4,12,22.7,3.7,Rest of India
Tamil Nadu,Tiruppur,75.8,1016,55.1,0.7,69.3,66,59.7,0,3.8,0.1,1.8,0,4.6,1.3,37.6,87.4,100,98.4,100,21.5,15.3,23.1,6.2,Rest of India
Tamil Nadu,Tiruvannamalai,75.5,848,50.2,3.2,71.9,68.7,64.5,0,3.1,0,1,0.2,5.1,3.3,28,76.9,100,98.1,99.1,30.6,14.8,25,3.3,Rest of India
Tamil Nadu,Vellore,80,722,52.5,1.9,65.2,63.2,59.5,0,3.1,0,0.5,0.2,6.7,3.6,32.7,98.9,100,98.6,99.5,29.8,13.1,19.7,4.2,Rest of India
Tamil Nadu,Viluppuram,73.6,916,45.7,2.9,71.6,68.6,62.6,0.2,3.2,0.7,1.3,0.2,7.4,1.8,24.6,75.8,96,88.1,99.1,23.9,12.4,20.5,0,Rest of India
Tamil Nadu,Virudhunagar,80.5,730,53.5,0,68.1,66.3,61.2,0,3.1,0.2,1,0.5,6.4,2.9,23.1,71.9,99.3,80.2,97.8,29.2,14.4,23.7,6.8,Rest of India
Telangana,Adilabad,58.6,785,41,1.3,54.3,54.1,50.2,0.6,0,1.2,1.5,0,10.1,4.7,12,32.6,94.1,83.4,94.1,45.7,29.5,52,2.9,Rest of India
Telangana,Bhadradri Kothagudem,62.7,817,41.8,1,75,74,68.2,2.2,0.3,0.9,1.4,0.3,3.8,2.1,18.3,51.3,98.6,87.1,97.4,28.4,21.8,25.3,3.7,Rest of India
Telangana,Hyderabad,80.3,844,63.2,4,71.8,70,64.6,0,1.8,1.9,1.1,0,6.1,2.9,18.5,58.2,94.4,91.2,98.3,30.4,17.7,18.9,4.3,Rest of India
Telangana,Jagitial,55.9,955,43.5,1.8,57.4,56.5,47.7,6.3,0.8,0.7,0.8,0,13.4,3.6,17.3,24,95.5,84.1,94.4,29.9,17.5,32.3,5.5,Rest of India
Telangana,Jangoan,56.6,1089,44,1.3,71,70.4,67.2,1.4,0.3,0.3,0.4,0,4.6,2.5,19.5,33.9,98.9,85.6,99.6,33.4,22.9,30.9,6.4,Rest of India
Telangana,Jayashankar Bhupalapally,52.4,903,36.3,2,64.8,64.3,51,11.3,0,0.5,1,0.2,7,2.4,13.5,47.1,94,89.1,99.5,32.5,31.8,36.7,1.4,Rest of India
Telangana,Jogulamba Gadwal,47.8,853,27.4,2.2,75.5,74.9,71.5,0,0.5,0.2,0.1,0,2.6,1.6,24.7,43.3,96.5,88.3,94.2,49.7,17.3,41.7,2.8,Rest of India
Telangana,Kamareddy,51.1,870,35.6,2.3,56.8,56.8,55.9,0.1,0.3,0.2,0.3,0,9.8,5.4,9.4,44.4,96.8,86.8,97.1,33.4,34.5,43.9,3.1,Rest of India
Telangana,Karimnagar,63.6,933,50.8,1.1,56.8,56.4,44.4,10.9,0.1,0.1,0.6,0,10,2.9,14.5,24.3,88.2,89.5,98.4,30.3,13.9,27.5,5.9,Rest of India
Telangana,Khammam,61.8,905,40.9,1.4,78.7,76.2,73.8,0.4,0.2,0.4,0.8,0,3.3,1.3,25.8,54.9,99.4,93.2,97.9,22.2,24.7,26.2,6,Rest of India
Telangana,Komaram Bheem Asifabad,52.9,917,28.7,1.3,49.4,49.1,46.9,0.3,0.1,0.5,0.8,0.2,6.8,2.7,12.5,33,96.7,85.5,82,38.1,35.7,41.1,2.7,Rest of India
Telangana,Mahabubabad,55,885,34.7,0.5,75.4,74.7,68.9,4.6,0,0.4,0.3,0,4.7,2.2,16.3,59.5,98.1,91.5,97.7,33,19.3,26.3,3.6,Rest of India
Telangana,Mahabubnagar,54.8,789,40.4,2,72,70.1,68,0,0.3,0.1,0.4,0,2.7,1.7,31.4,48.3,98.7,84.9,98.1,42.6,17.8,33,4.1,Rest of India
Telangana,Mancherial,58.4,909,48.8,0.9,55.3,55.3,53.9,0.5,0.2,0.2,0,0.2,11.3,2.9,9.5,33,93.6,87.7,90.1,25.9,22.1,27.4,3.4,Rest of India
Telangana,Medak,52.3,848,39.3,0.9,57.4,55.7,53.9,0.3,0,0.3,0.7,0,7.4,3.8,9.1,51.4,97.7,80.8,98.9,36.4,21.3,42,1.1,Rest of India
Telangana,Medchal-Malkajgiri,72.9,828,59.3,1.1,76.4,72.4,65.8,0.8,0.9,1.4,1.3,0.6,3.7,2,25.4,57.9,96.2,90.6,98.3,33.4,12,25,1.2,Rest of India
Telangana,Nagarkurnool,51.1,771,36,1.9,77.3,76.5,73.2,0,0.8,0.6,0.6,0.2,3.9,1.7,27.1,58.3,97,90.3,98,35.1,27.3,30.9,2.5,Rest of India
Telangana,Nalgonda,59.8,883,40.9,1,78.5,77.2,75.1,0,0.4,0.5,0.7,0,2,1.2,23.6,62.8,98.7,92.2,98.3,31.7,29.8,28,1.7,Rest of India
Telangana,Nirmal,53.3,1138,40.9,1.8,59.3,58.5,53.8,0.3,0.6,1,0.4,0.2,6.7,3.6,9.2,39.4,96.9,87.2,96.7,31.7,18.1,33.4,1.4,Rest of India
Telangana,Nizamabad,54.3,941,42.4,2.1,60.3,56.8,52.4,0,0,1.2,1.5,0.4,9.4,5.2,8.6,60.4,96.2,79.5,97.3,30.5,26.2,38.4,2.8,Rest of India
Telangana,Peddapalli,61.3,913,46.6,0.7,66.1,64.8,60,3.3,0.1,0.5,0.3,0.3,8.3,3.1,16.9,44.5,92.9,87.6,96.5,27.5,28.8,33.1,1.6,Rest of India
