State,District,Female population age 6 years and above who ever attended school (%),"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Women with 10 or more years of schooling (%),Births in the 5 years preceding the survey that are third or higher order (%),Any method6 (%),Any modern method6 (%),Female sterilization (%),Male sterilization (%),Condom (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method8 (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Institutional births (%),Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),2010-11 GDP (in Rs. Cr.),2010-11 Growth Rate % (YoY)
Andaman Nicobar Islands,Nicobar,,,,,,,,,,,,,,,,,,,,
Andaman Nicobar Islands,North  & Middle Andaman,,,,,,,,,,,,,,,,,,,,
Andaman Nicobar Islands,South Andaman,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Anantapur,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Chittoor,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,East Godavari,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Guntur,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Krishna,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Kurnool,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Prakasam,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Srikakulam,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Visakhapatnam,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Vizianagaram,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,West Godavari,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Y.S.R.,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Anjaw,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Changlang,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Dibang Valley,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,East Kameng,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,East Siang,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Kra Daadi,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Kurung Kumey,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Lohit,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Longding,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Lower Dibang Valley,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Lower Subansiri,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Namsai,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Papum Pare,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Siang,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Tawang,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Tirap,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Upper Siang,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,Upper Subansiri,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,West Kameng,,,,,,,,,,,,,,,,,,,,
Arunachal Pradesh,West Siang,,,,,,,,,,,,,,,,,,,,
Assam,Baksa,,,,,,,,,,,,,,,,,,,,
Assam,Barpeta,,,,,,,,,,,,,,,,,,,,
Assam,Biswanath,,,,,,,,,,,,,,,,,,,,
Assam,Bongaigaon,,,,,,,,,,,,,,,,,,,,
Assam,Cachar,,,,,,,,,,,,,,,,,,,,
Assam,Charaideo,,,,,,,,,,,,,,,,,,,,
Assam,Chirang,,,,,,,,,,,,,,,,,,,,
Assam,Darrang,,,,,,,,,,,,,,,,,,,,
Assam,Dhemaji,,,,,,,,,,,,,,,,,,,,
Assam,Dhubri,,,,,,,,,,,,,,,,,,,,
Assam,Dibrugarh,,,,,,,,,,,,,,,,,,,,
Assam,Dima Hasao,,,,,,,,,,,,,,,,,,,,
Assam,Goalpara,,,,,,,,,,,,,,,,,,,,
Assam,Golaghat,,,,,,,,,,,,,,,,,,,,
Assam,Hailakandi,,,,,,,,,,,,,,,,,,,,
Assam,Hojai,,,,,,,,,,,,,,,,,,,,
Assam,Jorhat,,,,,,,,,,,,,,,,,,,,
Assam,Kamrup Metropolitan,,,,,,,,,,,,,,,,,,,,
Assam,Kamrup,,,,,,,,,,,,,,,,,,,,
Assam,Karbi Anglong,,,,,,,,,,,,,,,,,,,,
Assam,Karimganj,,,,,,,,,,,,,,,,,,,,
Assam,Kokrajhar,,,,,,,,,,,,,,,,,,,,
Assam,Lakhimpur,,,,,,,,,,,,,,,,,,,,
Assam,Majuli,,,,,,,,,,,,,,,,,,,,
Assam,Morigaon,,,,,,,,,,,,,,,,,,,,
Assam,Nagaon,,,,,,,,,,,,,,,,,,,,
Assam,Nalbari,,,,,,,,,,,,,,,,,,,,
Assam,Sivasagar,,,,,,,,,,,,,,,,,,,,
Assam,Sonitpur,,,,,,,,,,,,,,,,,,,,
Assam,South Salmara Mancachar,,,,,,,,,,,,,,,,,,,,
Assam,Tinsukia,,,,,,,,,,,,,,,,,,,,
Assam,Udalguri,,,,,,,,,,,,,,,,,,,,
Assam,West Karbi Anglong,,,,,,,,,,,,,,,,,,,,
Bihar,Araria,,,,,,,,,,,,,,,,,,,,
Bihar,Arwal,,,,,,,,,,,,,,,,,,,,
Bihar,Aurangabad,,,,,,,,,,,,,,,,,,,,
Bihar,Banka,,,,,,,,,,,,,,,,,,,,
Bihar,Begusarai,,,,,,,,,,,,,,,,,,,,
Bihar,Bhagalpur,,,,,,,,,,,,,,,,,,,,
Bihar,Bhojpur,,,,,,,,,,,,,,,,,,,,
Bihar,Buxer,,,,,,,,,,,,,,,,,,,,
Bihar,Darbhanga,,,,,,,,,,,,,,,,,,,,
Bihar,Gaya,,,,,,,,,,,,,,,,,,,,
Bihar,Gopalganj,,,,,,,,,,,,,,,,,,,,
Bihar,Jamui,,,,,,,,,,,,,,,,,,,,
Bihar,Jehanabad,,,,,,,,,,,,,,,,,,,,
Bihar,Kaimur (Bhabua),,,,,,,,,,,,,,,,,,,,
Bihar,Katihar,,,,,,,,,,,,,,,,,,,,
Bihar,Khagaria,,,,,,,,,,,,,,,,,,,,
Bihar,Kishanganj,,,,,,,,,,,,,,,,,,,,
Bihar,Lakhisarai,,,,,,,,,,,,,,,,,,,,
Bihar,Madhepura,,,,,,,,,,,,,,,,,,,,
Bihar,Madhubani,,,,,,,,,,,,,,,,,,,,
Bihar,Munger,,,,,,,,,,,,,,,,,,,,
Bihar,Muzaffarpur,,,,,,,,,,,,,,,,,,,,
Bihar,Nalanda,,,,,,,,,,,,,,,,,,,,
Bihar,Nawada,,,,,,,,,,,,,,,,,,,,
Bihar,Pashchim Champaran,,,,,,,,,,,,,,,,,,,,
Bihar,Patna,,,,,,,,,,,,,,,,,,,,
Bihar,Purba Champaran,,,,,,,,,,,,,,,,,,,,
Bihar,Purnia,,,,,,,,,,,,,,,,,,,,
Bihar,Rohtas,,,,,,,,,,,,,,,,,,,,
Bihar,Saharsa,,,,,,,,,,,,,,,,,,,,
Bihar,Samastipur,,,,,,,,,,,,,,,,,,,,
Bihar,Saran,,,,,,,,,,,,,,,,,,,,
Bihar,Sheikhpura,,,,,,,,,,,,,,,,,,,,
Bihar,Sheohar,,,,,,,,,,,,,,,,,,,,
Bihar,Sitamarhi,,,,,,,,,,,,,,,,,,,,
Bihar,Siwan,,,,,,,,,,,,,,,,,,,,
Bihar,Supaul,,,,,,,,,,,,,,,,,,,,
Bihar,Vaishali,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Balod,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Baloda Bazar,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Balrampur,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Bastar,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Bemetara,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Bijapur,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Bilaspur,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Dantewada,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Dhamtari,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Durg,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Gariyaband,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Janjgir - Champa,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Jashpur,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Kabeerdham,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Kodagaon,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Korba,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Koriya,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Mahasamund,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Mungeli,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Narayanpur,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Raigarh,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Raipur,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Rajnandgaon,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Sukma,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Surajpur,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Surguja,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,Uttar Bastar Kanker,,,,,,,,,,,,,,,,,,,,
Dadra Nagar Haveli Daman Diu,Dadra & Nagar Haveli,,,,,,,,,,,,,,,,,,,,
Dadra Nagar Haveli Daman Diu,Daman,,,,,,,,,,,,,,,,,,,,
Dadra Nagar Haveli Daman Diu,Diu,,,,,,,,,,,,,,,,,,,,
Goa,North Goa,,,,,,,,,,,,,,,,,,,,
Goa,South Goa,,,,,,,,,,,,,,,,,,,,
Gujarat,Ahmedabad,,,,,,,,,,,,,,,,,,,,
Gujarat,Amreli,,,,,,,,,,,,,,,,,,,,
Gujarat,Anand,,,,,,,,,,,,,,,,,,,,
Gujarat,Aravali,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskantha,,,,,,,,,,,,,,,,,,,,
Gujarat,Bharuch,,,,,,,,,,,,,,,,,,,,
Gujarat,Bhavnagar,,,,,,,,,,,,,,,,,,,,
Gujarat,Botad,,,,,,,,,,,,,,,,,,,,
Gujarat,Chhota Udaipur,,,,,,,,,,,,,,,,,,,,
Gujarat,Dahod,,,,,,,,,,,,,,,,,,,,
Gujarat,Devbhumi Dwarka,,,,,,,,,,,,,,,,,,,,
Gujarat,Gandhinagar,,,,,,,,,,,,,,,,,,,,
Gujarat,Gir Somnath,,,,,,,,,,,,,,,,,,,,
Gujarat,Jamnagar,,,,,,,,,,,,,,,,,,,,
Gujarat,Junagadh,,,,,,,,,,,,,,,,,,,,
Gujarat,Kachchh,,,,,,,,,,,,,,,,,,,,
Gujarat,Kheda,,,,,,,,,,,,,,,,,,,,
Gujarat,Mahesana,,,,,,,,,,,,,,,,,,,,
Gujarat,Mahisagar,,,,,,,,,,,,,,,,,,,,
Gujarat,Morbi,,,,,,,,,,,,,,,,,,,,
Gujarat,Narmada,,,,,,,,,,,,,,,,,,,,
Gujarat,Navsari,,,,,,,,,,,,,,,,,,,,
Gujarat,Panchmahal,,,,,,,,,,,,,,,,,,,,
Gujarat,Patan,,,,,,,,,,,,,,,,,,,,
Gujarat,Porbandar,,,,,,,,,,,,,,,,,,,,
Gujarat,Rajkot,,,,,,,,,,,,,,,,,,,,
Gujarat,Sabarkantha,,,,,,,,,,,,,,,,,,,,
Gujarat,Surat,,,,,,,,,,,,,,,,,,,,
Gujarat,Surendranagar,,,,,,,,,,,,,,,,,,,,
Gujarat,Tapi,,,,,,,,,,,,,,,,,,,,
Gujarat,The Dangs,,,,,,,,,,,,,,,,,,,,
Gujarat,Vadodara,,,,,,,,,,,,,,,,,,,,
Gujarat,Valsad,,,,,,,,,,,,,,,,,,,,
Haryana,Ambala,,,,,,,,,,,,,,,,,,,,
Haryana,Bhiwani,,,,,,,,,,,,,,,,,,,,
Haryana,Charkhi Dadri,,,,,,,,,,,,,,,,,,,,
Haryana,Faridabad,,,,,,,,,,,,,,,,,,,,
Haryana,Fatehabad,,,,,,,,,,,,,,,,,,,,
Haryana,Gurgaon,,,,,,,,,,,,,,,,,,,,
Haryana,Hisar,,,,,,,,,,,,,,,,,,,,
Haryana,Jhajjar,,,,,,,,,,,,,,,,,,,,
Haryana,Jind,,,,,,,,,,,,,,,,,,,,
Haryana,Kaithal,,,,,,,,,,,,,,,,,,,,
Haryana,Karnal,,,,,,,,,,,,,,,,,,,,
Haryana,Kurukshetra,,,,,,,,,,,,,,,,,,,,
Haryana,Mahendragarh,,,,,,,,,,,,,,,,,,,,
Haryana,Mewat,,,,,,,,,,,,,,,,,,,,
Haryana,Palwal,,,,,,,,,,,,,,,,,,,,
Haryana,Panchkula,,,,,,,,,,,,,,,,,,,,
Haryana,Panipat,,,,,,,,,,,,,,,,,,,,
Haryana,Rewari,,,,,,,,,,,,,,,,,,,,
Haryana,Rohtak,,,,,,,,,,,,,,,,,,,,
Haryana,Sirsa,,,,,,,,,,,,,,,,,,,,
Haryana,Sonipat,,,,,,,,,,,,,,,,,,,,
Haryana,Yamunanagar,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Anantnag,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Badgam,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Bandipore,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Baramula,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Doda,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Ganderbal,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Jammu,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Kathua,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Kishtwar,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Kulgam,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Kupwara,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Pulwama,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Punch,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Rajouri,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Ramban,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Reasi,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Samba,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Shupiyan,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Srinagar,,,,,,,,,,,,,,,,,,,,
Jammu Kashmir,Udhampur,,,,,,,,,,,,,,,,,,,,
Jharkhand,Bokaro,,,,,,,,,,,,,,,,,,,,
Jharkhand,Chatra,,,,,,,,,,,,,,,,,,,,
Jharkhand,Deoghar,,,,,,,,,,,,,,,,,,,,
Jharkhand,Dhanbad,,,,,,,,,,,,,,,,,,,,
Jharkhand,Dumka,,,,,,,,,,,,,,,,,,,,
Jharkhand,Garhwa,,,,,,,,,,,,,,,,,,,,
Jharkhand,Giridih,,,,,,,,,,,,,,,,,,,,
Jharkhand,Godda,,,,,,,,,,,,,,,,,,,,
Jharkhand,Gumla,,,,,,,,,,,,,,,,,,,,
Jharkhand,Hazaribagh,,,,,,,,,,,,,,,,,,,,
Jharkhand,Jamtara,,,,,,,,,,,,,,,,,,,,
Jharkhand,Khunti,,,,,,,,,,,,,,,,,,,,
Jharkhand,Kodarma,,,,,,,,,,,,,,,,,,,,
Jharkhand,Latehar,,,,,,,,,,,,,,,,,,,,
Jharkhand,Lohardaga,,,,,,,,,,,,,,,,,,,,
Jharkhand,Pakur,,,,,,,,,,,,,,,,,,,,
Jharkhand,Palamu,,,,,,,,,,,,,,,,,,,,
Jharkhand,Pashchimi Singhbhum,,,,,,,,,,,,,,,,,,,,
Jharkhand,Purbi Singhbhum,,,,,,,,,,,,,,,,,,,,
Jharkhand,Ramgarh,,,,,,,,,,,,,,,,,,,,
Jharkhand,Ranchi,,,,,,,,,,,,,,,,,,,,
Jharkhand,Sahibganj,,,,,,,,,,,,,,,,,,,,
Jharkhand,Saraikela-Kharsawan,,,,,,,,,,,,,,,,,,,,
Jharkhand,Simdega,,,,,,,,,,,,,,,,,,,,
Karnataka,Bagalkot,,,,,,,,,,,,,,,,,,,,
Karnataka,Bangalore Rural,,,,,,,,,,,,,,,,,,,,
Karnataka,Bangalore,,,,,,,,,,,,,,,,,,,,
Karnataka,Belgaum,,,,,,,,,,,,,,,,,,,,
Karnataka,Bellary,,,,,,,,,,,,,,,,,,,,
Karnataka,Bidar,,,,,,,,,,,,,,,,,,,,
Karnataka,Bijapur,,,,,,,,,,,,,,,,,,,,
Karnataka,Chamarajanagar,,,,,,,,,,,,,,,,,,,,
Karnataka,Chikkaballapura,,,,,,,,,,,,,,,,,,,,
Karnataka,Chikmagalur,,,,,,,,,,,,,,,,,,,,
Karnataka,Chitradurga,,,,,,,,,,,,,,,,,,,,
